Numeros primos encontrados,Tempo de execução
121199,7481.3348
121199,6578.4971
121199,6130.8398
121199,6476.2074
121199,9615.0971
121199,7481.3348
121199,9578.4971
121199,6130.8398
121199,9476.2074
121199,6615.0971
121199,9481.3348
121199,9578.4971
121199,9130.8398
121199,6476.2074
121199,9615.0971
121199,7481.3348
121199,9578.4971
121199,9130.8398
121199,9476.2074
121199,9615.0971
121199,8481.3348
121199,8578.4971
121199,6130.8398
121199,6476.2074
121199,6615.0971
121199,7481.3348
121199,6578.4971
121199,6130.8398
121199,6476.2074
121199,6615.0971
121199,7481.3348
121199,8578.4971
121199,6130.8398
121199,6476.2074
121199,6615.0971
121199,7481.3348
121199,6578.4971
121199,6130.8398
121199,6476.2074
121199,8615.0971
121199,7481.3348
121199,6578.4971
121199,6130.8398
121199,6476.2074
121199,6615.0971
121199,7481.3348
121199,6578.4971
121199,8130.8398
121199,8476.2074
121199,8615.0971
