Numeros primos encontrados,Tempo de execução
121299,6287.6271
121299,5868.527
121299,5714.4621
121299,5698.6879
121299,5695.8595
121299,6009.4815
121299,5848.9751
121299,5924.9647
121299,6006.7701
121299,6077.6294
121299,5926.6147
121299,5885.9374
121299,5754.9363
121299,5929.0822
121299,6988.0382
121299,6134.7413
121299,6669.7274
121299,6493.7619
121299,5850.3577
121299,6224.5114
121299,6023.3528
121299,6949.3612
121299,6025.0127
121299,6022.0819
121299,5749.2724
121299,5770.2098
121299,5902.529
121299,6504.0053
21299,6669.7274
121299,6493.7619
121299,5850.3577
121299,6224.5114
121299,6023.3528
121299,6949.3612
121299,6025.0127
121299,6022.0819
121299,5749.2724
121299,5770.2098
121299,5902.529
121299,6504.0053
21299,6669.7274
121299,6493.7619
121299,5850.3577
121299,6224.5114
121299,6023.3528
121299,6949.3612
121299,6025.0127
121299,6022.0819
121299,5749.2724
121299,5770.2098

