Numeros primos encontrados,Tempo de execução
121299,5837.9742
121299,5907.3414
121299,5869.9784
121299,8380.5339
121299,9626.935
121299,8150.8727
121299,5772.9587
121299,6319.7865
121299,6061.057
121299,5894.7213
121299,6142.1822
121299,5857.8931
121299,8834.8513
121299,8504.6389
121299,7035.836
121299,6372.5447
121299,5953.5136
121299,5986.7438
121299,5814.1794
121299,5929.3372
121299,6033.0468
121299,7016.6982
121299,6897.2602
121299,6732.1799
121299,6318.7644
121299,6182.2007
121299,6486.5528
121299,6224.9688
121299,7453.3159
121299,6943.1437
121299,8474.6762
121299,9368.6323
121299,6182.2007
121299,6486.5528
121299,6224.9688
121299,7453.3159
121299,6943.1437
121299,8474.6762
121299,9368.6323
121299,6182.2007
121299,6486.5528
121299,6224.9688
121299,7453.3159
121299,6943.1437
121299,8474.6762
121299,9368.6323
121299,6182.2007
121299,6486.5528
121299,6224.9688
121299,7453.3158
