Numeros primos encontrados,Tempo de execução
121259,5668.0917
121259,5733.5784
121259,5639.788
121259,5679.3533
121259,5676.3198
121259,5639.1694
121259,5710.7935
121259,5614.0082
121259,5622.2201
121259,5634.2329
121259,5647.0098
121259,5682.2854
121259,5639.523
121259,5660.4921
121259,5677.8346
121259,5663.9919
121259,5665.0732
121259,5680.9753
121259,5642.9018
121259,5635.3036
121259,5755.5733
121259,5680.9377
121259,5664.2733
121259,5638.1416
121259,5651.4038
121259,5626.5644
121259,5624.5501
121259,5653.8673
121259,5627.6058
121259,5667.1723
121259,5634.7044
121259,5662.6882
121259,5665.184
121259,5609.8064
121259,5646.6259
121259,5673.2413
121259,5663.0055
121259,5639.0258
121259,5627.3351
121259,5661.7795
121259,5636.5858
121259,5825.7769
121259,5815.731
121259,6037.1806
121259,5730.7791
121259,5654.68
121259,5606.8421
121259,5659.6618
121259,5676.3116
121259,5635.3994
