Numeros primos encontrados,Tempo de execução
121199,5615.2429
121199,5748.9165
121199,5631.0152
121199,5669.7003
121199,5622.6266
121199,5641.6393
121199,5803.3083
121199,5664.1298
121199,5636.938
121199,5619.5089
121199,5631.1424
121199,5636.7153
121199,5781.3551
121199,5706.782
121199,5621.6779
121199,5629.949
121199,5670.0866
121199,5735.938
121199,5673.1083
121199,5661.5626
121199,5640.1418
121199,6894.9495
121199,6229.61
121199,5759.723
121199,5683.0844
121199,5756.8707
121199,5676.3022
121199,5669.9925
121199,5631.6047
121199,5669.6876
121199,5632.1779
121199,5640.3533
121199,5636.611
121199,5680.0682
121199,5744.322
121199,5721.8898
121199,5930.9382
121199,6567.5087
121199,6868.5355
121199,7614.9931
121199,6733.2314
121199,6992.563
121199,6809.2785
121199,6392.1998
121199,6381.0937
121199,6472.7573
121199,6982.936
121199,5937.9155
121199,5938.7085
121199,5993.2696
