Numeros primos encontrados,Tempo de execução
121289,5646.7402
121289,5796.4602
121289,5647.3808
121289,5661.2928
121289,5658.7552
121289,5645.4505
121289,5636.5948
121289,5669.3517
121289,5650.1
121289,5673.6785
121289,5630.2826
121289,5677.3803
121289,5635.814
121289,5694.2645
121289,5675.2198
121289,5656.8706
121289,5800.0825
121289,5650.1134
121289,5673.5783
121289,5654.0251
121289,5609.0454
121289,5638.8113
121289,5657.1343
121289,5643.6467
121289,5671.5032
121289,5632.3854
121289,5637.3262
121289,5654.8972
121289,5661.8003
121289,5641.1648
121289,5637.3058
121289,5662.104
121289,5643.6945
121289,5636.3598
121289,5666.9232
121289,5696.4401
121289,5630.8381
121289,5648.2112
121289,5652.0115
121289,5796.2194
121289,5616.9389
121289,5633.2868
121289,5626.3218
121289,5647.9378
121289,5640.8073
121289,5656.936
121289,5625.3665
121289,5643.9487
121289,5610.8287
121289,5652.606
