Numeros primos encontrados,Tempo de execução
121299,5564.6223
121299,5666.4453
121299,5614.0804
121299,5564.49
121299,5606.3007
121299,5763.2462
121299,5596.4822
121299,5574.2748
121299,5603.306
121299,5609.0016
121299,5607.0814
121299,5589.2572
121299,5584.9228
121299,5629.9615
121299,5566.7374
121299,5592.7258
121299,5597.488
121299,5573.6148
121299,5591.4082
121299,5581.0811
121299,5589.2867
121299,5610.094
121299,5568.7743
121299,5597.4562
121299,5591.2479
121299,5602.8355
121299,5631.6745
121299,5570.7942
121299,5770.063
121299,5604.4533
121299,6062.8494
121299,5795.2161
121299,5617.6499
121299,5580.9705
121299,5664.8701
121299,5597.3426
121299,5627.1416
121299,5651.0771
121299,5605.2425
121299,5584.7695
121299,5607.9772
121299,5595.0767
121299,5578.0171
121299,5603.9249
121299,5598.3598
121299,5628.9846
121299,5595.0523
121299,5614.6618
121299,5592.3711
121299,5650.7583
