Numeros primos encontrados,Tempo de execução
121289,6490.3005
121289,5911.4462
121289,5836.911
121289,5992.4301
121289,7235.6272
121289,7516.5266
121289,6106.7541
121289,7353.1042
121289,9920.4767
121289,8463.4627
121289,6337.5546
121289,6571.0432
121289,9641.6313
121289,12481.4934
121289,11335.7487
121289,6955.4383
121289,6333.7163
121289,6273.8859
121289,6017.1314
121289,5898.9063
121289,6004.2727
121289,9928.7708
121289,6304.1456
121289,5829.5043
121289,6081.3087
121289,6122.9057
121289,6369.8173
121289,6143.8203
121289,6211.0989
121289,8714.6962
121289,8463.4627
121289,6337.5546
121289,6571.0432
121289,9641.6313
121289,12481.4934
121289,11335.7487
121289,6955.4383
121289,6333.7163
121289,6273.8859
121289,6017.1314
121289,5898.9063
121289,6004.2727
121289,9928.7708
121289,6304.1456
121289,5829.5043
121289,6081.3087
121289,6122.9057
121289,6369.8173
121289,6143.8203
121289,6211.0989

