Numeros primos encontrados,Tempo de execução
121259,5973.7214
121259,6080.9867
121259,5985.1135
121259,6080.8172
121259,6129.2787
121259,5895.4834
121259,5721.99
121259,5704.9276
121259,5725.417
121259,5722.5932
121259,6080.0036
121259,6899.5417
121259,6038.2486
121259,6165.246
121259,6215.242
121259,6129.7981
121259,5948.5754
121259,6036.1887
121259,6104.5104
121259,5879.3617
121259,5953.3009
121259,5988.9694
121259,5891.7981
121259,5906.9066
121259,5705.7196
121259,6146.3154
121259,6543.1455
121259,6306.6746
121259,6034.8584
121259,7333.2313
121259,6946.1341
121259,5697.637
121259,5677.8181
121259,5685.242
121259,5685.984
121259,5687.7369
121259,6497.5927
121259,5746.2656
121259,5871.7545
121259,5702.9435
121259,5669.6024
121259,5693.1061
121259,5696.8839
121259,5709.6662
121259,5714.0835
121259,6327.3083
121259,5639.6936
121259,5700.9981
121259,5689.6009
121259,5665.9377
