Numeros primos encontrados,Tempo de execução
121299,2334.2858
121299,2263.8263
121299,2175.2025
121299,2353.6991
121299,2306.7738
121299,2205.7819
121299,2210.9655
121299,2324.8961
121299,2369.3071
121299,2332.7486
121299,2300.5904
121299,2429.2076
121299,2331.4522
121299,2251.5849
121299,2144.0562
121299,2363.9164
121299,2425.634
121299,2576.9967
121299,2360.1911
121299,2469.3174
121299,2445.8095
121299,2573.5521
121299,2460.4077
121299,2557.1617
121299,2189.7677
121299,2113.6756
121299,2034.8042
121299,2307.2525
121299,2347.8839
121299,2170.1025
121299,2133.5523
121299,2198.5209
121299,2146.0113
121299,2215.0202
121299,2240.0002
121299,2231.6789
121299,2300.4783
121299,2109.6387
121299,2221.4733
121299,2168.7285
121299,2091.5099
121299,2143.7756
121299,2073.7078
121299,2100.5896
121299,2070.9671
121299,2134.0856
121299,2165.1688
121299,2305.587
121299,2189.6424
121299,2096.7337
