Numeros primos encontrados,Tempo de execução
121229,5615.9043
121229,5710.8408
121229,5616.1802
121229,5654.0278
121229,5611.5733
121229,5634.8573
121229,5640.9542
121229,5674.0637
121229,5565.7138
121229,5619.2848
121229,5726.1699
121229,5623.652
121229,5600.6514
121229,5565.4074
121229,5585.9038
121229,5616.7132
121229,5612.4974
121229,5634.7558
121229,5596.6456
121229,5619.5548
121229,5682.0393
121229,5638.5869
121229,5640.4638
121229,5666.091
121229,5619.1507
121229,5617.1755
121229,5629.1637
121229,5607.0926
121229,5891.527
121229,5725.7945
121229,5575.9915
121229,5593.147
121229,5692.2004
121229,5587.3317
121229,5553.9131
121229,5592.6205
121229,5613.5177
121229,5591.5766
121229,5600.8726
121229,5591.1792
121229,5572.0938
121229,5585.2917
121229,5559.5825
121229,5623.9339
121229,5631.6051
121229,5598.263
121229,5565.7148
121229,5582.1008
121229,5618.1263
121229,5573.1922
