Numeros primos encontrados,Tempo de execução
121299,5901.552
121299,5687.7319
121299,5639.5486
121299,6966.8734
121299,5910.1968
121299,5781.636
121299,5644.2053
121299,6040.0081
121299,6237.0623
121299,7064.693
121299,7067.9254
121299,5987.7619
121299,6566.3922
121299,6201.5621
121299,6145.4045
121299,5740.809
121299,6134.7682
121299,5814.8546
121299,6080.632
121299,6006.8231
121299,6081.6962
121299,7037.9525
121299,7503.5381
121299,7157.8028
121299,7856.8147
121299,5799.1285
121299,5639.5486
121299,6966.8734
121299,5910.1968
121299,5781.636
121299,5644.2053
121299,6040.0081
121299,6237.0623
121299,7064.693
121299,7067.9254
121299,5987.7619
121299,6566.3922
121299,6201.5621
121299,6145.4045
121299,5740.809
121299,6134.7682
121299,5814.8546
121299,6080.632
121299,6006.8231
121299,6081.6962
121299,7037.9525
121299,7503.5381
121299,7157.8028
121299,7856.8147
121299,7856.8147
