Numeros primos encontrados,Tempo de execução
121219,5600.0931
121219,5956.4691
121219,5585.5889
121219,5613.4092
121219,5592.0783
121219,5639.8413
121219,5604.2762
121219,5618.4625
121219,5612.269
121219,5579.6847
121219,5600.7964
121219,5586.8295
121219,5570.1666
121219,5563.6356
121219,5596.0936
121219,5607.6956
121219,5564.2686
121219,5549.0422
121219,5649.862
121219,5607.1046
121219,5604.4924
121219,5636.8204
121219,5591.3045
121219,5595.9017
121219,5757.6335
121219,5616.4026
121219,5598.874
121219,5572.5283
121219,5582.3948
121219,5597.1637
121219,5562.7372
121219,5594.1771
121219,5601.8706
121219,5604.9757
121219,5566.6855
121219,5616.8159
121219,5593.8299
121219,5592.2414
121219,5563.6456
121219,5593.6267
121219,5613.0612
121219,5589.905
121219,5597.7124
121219,5570.3269
121219,5586.4742
121219,5601.3079
121219,5624.9671
121219,5800.0793
121219,5604.2357
121219,5634.1809
