Numeros primos encontrados,Tempo de execução
121299,3095.1748
121299,2856.341
121299,3613.1952
121299,3026.582
121299,3876.9365
121299,3787.1867
121299,4625.6536
121299,4685.1507
121299,5197.7395
121299,6351.1256
121299,2728.7336
121299,2286.8311
121299,3350.4048
121299,3022.8177
121299,2718.584
121299,2533.678
121299,2304.1401
121299,2502.0148
121299,2277.3188
121299,2302.9205
121299,2328.466
121299,2312.034
121299,2328.5295
121299,2623.3022
121299,2459.8826
121299,2241.8289
121299,2543.6161
121299,2703.228
121299,3107.8261
121299,3408.5118
121299,3671.1928
121299,2323.1673
121299,2891.2685
121299,2523.1958
121299,2531.2338
121299,2171.4353
121299,2657.4165
121299,2349.4403
121299,3108.4845
121299,2405.389
121299,2335.9038
121299,2152.1577
121299,2540.5309
121299,2475.178
121299,2639.0131
121299,2504.6411
121299,2714.4199
121299,2315.817
121299,2272.1077
121299,2515.4355
